"subjID"	"choice"	"outcome"
"690"	253	2	-1
"691"	256	2	-1
"692"	256	2	-1
"693"	256	1	1
"694"	256	2	-1
"695"	256	2	-1
"696"	256	2	1
"697"	256	1	-1
"698"	256	1	-1
"699"	256	1	-1
"700"	256	1	-1
"701"	258	2	-1
"702"	258	1	1
"703"	258	1	1
"704"	258	1	1
"705"	258	1	1
"706"	258	1	-1
"707"	258	1	-1
"708"	258	1	-1
"709"	258	1	-1
"710"	258	1	-1
"711"	259	2	1
"712"	259	2	1
"713"	259	1	-1
"714"	259	1	-1
"715"	259	2	1
"716"	259	2	-1
"717"	259	1	1
"718"	259	2	-1
"719"	259	1	1
"720"	259	1	1
"721"	260	1	1
"722"	260	1	1
"723"	260	2	-1
"724"	260	2	-1
"725"	260	1	1
"726"	260	1	-1
"727"	260	2	1
"728"	260	1	-1
"729"	260	2	1
"730"	260	1	-1
"731"	261	1	-1
"732"	261	1	-1
"733"	261	1	-1
"734"	261	2	1
"735"	261	1	-1
"736"	261	2	-1
"737"	261	2	-1
"738"	261	2	-1
"739"	261	1	1
"740"	261	2	-1
"741"	293	2	1
"742"	293	2	1
"743"	293	2	1
"744"	293	2	1
"745"	293	2	1
"746"	293	2	-1
"747"	293	1	1
"748"	293	2	-1
"749"	293	1	1
"750"	293	1	1
"751"	301	1	-1
"752"	301	2	1
"753"	301	2	1
"754"	301	1	-1
"755"	301	2	1
"756"	301	2	-1
"757"	301	2	-1
"758"	301	2	-1
"759"	301	1	1
"760"	301	1	1
"761"	304	2	-1
"762"	304	1	1
"763"	304	2	-1
"764"	304	2	-1
"765"	304	2	-1
"766"	304	2	1
"767"	304	2	1
"768"	304	1	-1
"769"	304	1	-1
"770"	304	2	1
"771"	307	1	-1
"772"	307	2	1
"773"	307	1	-1
"774"	307	1	-1
"775"	307	1	-1
"776"	307	2	-1
"777"	307	1	1
"778"	307	1	1
"779"	307	1	1
"780"	307	1	1
"781"	308	1	1
"782"	308	1	1
"783"	308	1	1
"784"	308	2	-1
"785"	308	1	1
"786"	308	1	-1
"787"	308	2	1
"788"	308	2	1
"789"	308	1	-1
"790"	308	1	-1
"791"	310	2	-1
"792"	310	1	1
"793"	310	2	-1
"794"	310	2	-1
"795"	310	1	1
"796"	310	1	-1
"797"	310	2	1
"798"	310	2	1
"799"	310	2	1
"800"	310	1	-1
"801"	311	1	-1
"802"	311	2	1
"803"	311	2	1
"804"	311	2	1
"805"	311	2	1
"806"	311	1	1
"807"	311	1	1
"808"	311	1	1
"809"	311	1	1
"810"	311	2	-1
"811"	312	1	1
"812"	312	2	-1
"813"	312	1	1
"814"	312	1	1
"815"	312	2	-1
"816"	312	1	-1
"817"	312	2	1
"818"	312	2	1
"819"	312	2	1
"820"	312	1	-1
"821"	313	1	-1
"822"	313	2	1
"823"	313	1	-1
"824"	313	2	1
"825"	313	1	-1
"826"	313	2	-1
"827"	313	1	1
"828"	313	2	-1
"829"	313	2	-1
"830"	313	1	1
"831"	314	2	-1
"832"	314	2	-1
"833"	314	2	-1
"834"	314	2	-1
"835"	314	1	1
"836"	314	1	-1
"837"	314	2	1
"838"	314	1	-1
"839"	314	2	1
"840"	314	1	-1
"841"	315	2	1
"842"	315	2	1
"843"	315	2	1
"844"	315	2	1
"845"	315	1	-1
