"subjID" "choice" "outcome"
"1095" 311 2 1
"1096" 311 1 1
"1097" 311 1 1
"1098" 311 1 1
"1099" 311 1 1
"1100" 311 2 -1
"1101" 312 1 1
"1102" 312 2 -1
"1103" 312 1 1
"1104" 312 1 1
"1105" 312 2 -1
"1106" 312 1 -1
"1107" 312 2 1
"1108" 312 2 1
"1109" 312 2 1
"1110" 312 1 -1
"1111" 313 1 -1
"1112" 313 2 1
"1113" 313 1 -1
"1114" 313 2 1
"1115" 313 1 -1
"1116" 313 2 -1
"1117" 313 1 1
"1118" 313 2 -1
"1119" 313 2 -1
"1120" 313 1 1
"1121" 314 2 -1
"1122" 314 2 -1
"1123" 314 2 -1
"1124" 314 2 -1
"1125" 314 1 1
"1126" 314 1 -1
"1127" 314 2 1
"1128" 314 1 -1
"1129" 314 2 1
"1130" 314 1 -1
"1131" 315 2 1
"1132" 315 2 1
"1133" 315 2 1
"1134" 315 2 1
"1135" 315 1 -1
"1136" 315 2 -1
"1137" 315 2 -1
"1138" 315 2 -1
"1139" 315 2 -1
"1140" 315 2 -1
"1141" 316 2 -1
"1142" 316 1 1
"1143" 316 2 -1
"1144" 316 0 0
"1145" 316 2 -1
"1146" 316 0 0
"1147" 316 2 1
"1148" 316 2 1
"1149" 316 1 -1
"1150" 316 2 1
"1151" 317 2 1
"1152" 317 2 1
"1153" 317 1 -1
"1154" 317 2 1
"1155" 317 2 1
"1156" 317 2 -1
"1157" 317 1 1
"1158" 317 1 1
"1159" 317 1 1
"1160" 317 1 1
"1161" 318 1 1
"1162" 318 1 1
"1163" 318 1 1
"1164" 318 2 -1
"1165" 318 1 1
"1166" 318 1 -1
"1167" 318 0 0
"1168" 318 1 -1
"1169" 318 1 -1
"1170" 318 1 -1
"1171" 319 2 1
"1172" 319 2 1
"1173" 319 2 1
"1174" 319 1 -1
"1175" 319 2 1
"1176" 319 1 1
"1177" 319 0 0
"1178" 319 2 -1
"1179" 319 1 1
"1180" 319 1 1
"1181" 320 2 -1
"1182" 320 2 -1
"1183" 320 1 1
"1184" 320 1 1
"1185" 320 1 1
"1186" 320 0 0
"1187" 320 1 -1
"1188" 320 2 1
"1189" 320 2 1
"1190" 320 2 1
"1191" 321 2 1
"1192" 321 2 1
"1193" 321 2 1
"1194" 321 2 1
"1195" 321 2 1
"1196" 321 2 -1
"1197" 321 1 1
"1198" 321 1 1
"1199" 321 1 1
"1200" 321 2 -1
"1201" 322 0 0
"1202" 322 2 -1
"1203" 322 1 1
"1204" 322 0 0
"1205" 322 1 1
"1206" 322 1 -1
"1207" 322 2 1
"1208" 322 0 0
"1209" 322 2 1
"1210" 322 2 1
"1211" 323 1 -1
"1212" 323 1 -1
"1213" 323 2 1
"1214" 323 1 -1
"1215" 323 2 1
"1216" 323 1 1
"1217" 323 0 0
"1218" 323 0 0
"1219" 323 1 1
"1220" 323 2 -1
"1221" 324 2 -1
"1222" 324 2 -1
"1223" 324 1 1
"1224" 324 1 1
"1225" 324 1 1
"1226" 324 1 -1
"1227" 324 2 1
"1228" 324 1 -1
"1229" 324 2 1
"1230" 324 1 -1
"1231" 325 2 1
"1232" 325 2 1
"1233" 325 2 1
"1234" 325 2 1
"1235" 325 2 1
"1236" 325 2 -1
"1237" 325 1 1
"1238" 325 1 1
"1239" 325 1 1
"1240" 325 2 -1
"1241" 326 1 1
"1242" 326 1 1
"1243" 326 1 1
"1244" 326 2 -1
"1245" 326 2 -1
"1246" 326 1 -1
"1247" 326 2 1
"1248" 326 1 -1
"1249" 326 1 -1
"1250" 326 1 -1
"1251" 327 2 1
"1252" 327 2 1
"1253" 327 1 -1
"1254" 327 2 1
"1255" 327 1 -1
"1256" 327 0 0
"1257" 327 1 1
"1258" 327 0 0
"1259" 327 2 -1
"1260" 327 2 -1
"1261" 328 2 -1
"1262" 328 1 1
"1263" 328 0 0
"1264" 328 1 1
"1265" 328 1 1
"1266" 328 1 -1
"1267" 328 2 1
"1268" 328 2 1
"1269" 328 2 1
"1270" 328 2 1
"1271" 329 2 1
"1272" 329 1 -1
"1273" 329 1 -1
"1274" 329 2 1
"1275" 329 2 1
"1276" 329 2 -1
"1277" 329 1 1
"1278" 329 2 -1
"1279" 329 1 1
"1280" 329 1 1
"1281" 330 1 1
"1282" 330 1 1
"1283" 330 1 1
"1284" 330 1 1
"1285" 330 2 -1
"1286" 330 2 1
"1287" 330 2 1
"1288" 330 1 -1
"1289" 330 1 -1
"1290" 330 1 -1
"1291" 331 2 1
"1292" 331 2 1
"1293" 331 2 1
"1294" 331 1 -1
"1295" 331 2 1
"1296" 331 1 1
"1297" 331 2 -1
"1298" 331 2 -1
"1299" 331 1 1
"1300" 331 1 1
"1301" 332 2 1
"1302" 332 2 1
"1303" 332 2 1
"1304" 332 2 1
"1305" 332 2 1
"1306" 332 2 -1
"1307" 332 2 -1
"1308" 332 2 -1
"1309" 332 1 1
"1310" 332 2 -1
"1311" 333 2 1
